Velo,SpinRate,HorzBreak,InducedVertBreak,estimate
94.72,2375,3.1,18.15,0.4379867502915616
95.25,2033,11.26,14.5,0.5062213545411286
92.61,2389,11,21.93,0.43982090363846515
94.94,2360,6.84,18.11,0.44430931447081673
97.42,2214,16.7,13.38,0.4889003621569153
95.98,2495,11.25,17.12,0.43744925953824443
94.88,1998,15.13,15.22,0.5140463592558403
92.73,2049,1.55,18.47,0.48002450709586586
92.39,1955,18.15,7.25,0.5951539847338725
95.77,1976,10.04,14.56,0.5055273435455894
93.27,2076,11.45,11.5,0.537443128083307
91.95,2465,9.12,21,0.44038643087280754
92.24,2391,0.56,13.23,0.48386975261491655
93.1,2130,3.97,16.75,0.4850386176691727
95.38,2262,7.44,17.64,0.4548428301853356
94.54,2116,13.3,8.16,0.5498074610976805
94.22,2325,8.85,17.63,0.4596594394217979
95.14,2451,5.68,18.71,0.42802910497278024
91.91,2073,13.77,14.65,0.530335249263651
94.42,2232,8.61,19.04,0.45737517691258395
92.06,2184,-3.89,4.09,0.5602748755947967
94.99,2317,6.05,13.93,0.4751671689275113
94.8,3009,10.06,17.07,0.3949285886445559
91.25,2077,13.02,13.67,0.540234536960899
97.6,2080,16.79,-0.58,0.5950340463854984
95.78,2314,13.22,16.79,0.4621811217673289
95.58,2253,5.07,17.3,0.45259304180185317
92.63,2334,1.44,17.63,0.45816829801168313
89.9,2191,17.65,9.55,0.5744343265453148
96.23,2469,6.28,20.41,0.4080831777104038
90.67,2447,12.69,14.4,0.5024585066441849
94.1,2261,11.57,20.01,0.45526993576270813
94.6,2014,2.89,14.19,0.5009818929547735
93.57,2291,14.04,14.78,0.49596182437633973
93.74,2200,8.27,17.94,0.4724725443214745
94.85,2660,6.82,20.72,0.39861675682491127
88.41,1876,14.75,13.56,0.5842673918173831
96.76,2353,8.91,17.73,0.43759786184815597
97.99,2077,14.73,15.91,0.4776616770146969
89.4,2169,17.83,8.61,0.5867293576556071
95.17,2305,4.59,20.69,0.4269523486523957
90.32,2068,13.56,7.73,0.5886295971740563
95.36,2191,12.29,9,0.5289650994689401
92.29,2591,-0.02,15.27,0.44896527495733
91.98,2273,16.16,8.9,0.553079085619197
95.57,2200,15.33,11.87,0.5120765385945163
93.33,2174,9.79,15.34,0.4983711044538524
92.03,2231,4.35,12.68,0.5114085562019948
95.18,2219,6.12,19.91,0.44301477399589734
92.89,2141,9.56,14.23,0.5121041824231478
97.34,2383,5.9,19.13,0.4161573570350554
92.75,2444,-0.37,13.54,0.4711620774262344
96.36,2799,1.43,12.44,0.42025334029953937
88.32,2289,2.7,18.12,0.4934547736963791
89.24,2099,4,18.98,0.5017363767301063
94.81,1939,10.58,14.59,0.5170510970645181
94.95,2228,3.24,19.51,0.4417379185348739
91.72,2227,2.03,16.19,0.48627665692738653
92.98,2193,20.09,7.2,0.5714626546735335
95.68,2169,13.62,14.62,0.49269460224196143
90.69,2274,3.79,17.91,0.4805391580600247
94.77,1860,10.63,12.25,0.5411345159331574
93.23,2270,9.65,16.73,0.4799005969336052
95.39,2103,16.47,13.96,0.5106917699659497
92.07,2028,9.99,17.24,0.5096085552976835
97.67,2792,12.23,10.93,0.43926407055187855
95.3,2155,5.69,19.92,0.44761246754719003
94.43,1910,3.12,12.78,0.5225422651201858
93.48,2333,13.84,11.14,0.5169577230466631
98.56,2132,13.3,10.25,0.5041470717015776
94.08,2041,4.45,10.39,0.530692166400439
94.19,2448,6.54,20.37,0.42559001178260564
93.96,1892,7.86,16.15,0.5128331701490612
94.16,2479,5.98,21.57,0.4139241378510083
93.9,2190,16.36,8.61,0.5493347944733068
94.43,2037,15.55,12.56,0.5323484429765089
93.32,2366,1.29,18.94,0.4408438598020949
92.7,2341,2.38,22.79,0.4238373968232699
93.34,1913,16.33,7.03,0.5908219752710617
92.42,2182,10.7,14.98,0.5083523417762318
92.02,2263,14.03,15.01,0.5087104452697576
93.04,2264,10.22,14.53,0.4978668277762335
94.05,2253,12.93,16.38,0.4833705742560128
93.43,2030,10.97,13.58,0.5258584283399698
92.03,2247,2.57,18.07,0.47010047895066837
93.77,2034,4.07,16.63,0.4905349943515087
94.8,2219,11.8,6.13,0.5489947794882396
97.68,2538,9.88,19.23,0.40466320493767205
85.09,1771,12.72,8.1,0.6493735160532086
88,1786,13.5,5.5,0.6455897930839067
92.68,2080,6.85,14.92,0.510447630868712
96.71,2201,16.14,7.46,0.5348637386428899
92.52,2408,16.07,13.7,0.5029855518835538
97.32,2046,9.6,16.26,0.47471691498046875
95.78,2257,15.84,6.45,0.5425904407088425
94.53,2060,16.93,5.06,0.5820992232717522
94.7,2544,6.52,15.04,0.4482274455952067
94.71,2181,3.15,16.58,0.46779715234033253
96.12,1626,2.93,13.45,0.5331483788127636
91.7,2275,19,7.15,0.5713948726687758
94.18,2060,4.41,15.27,0.494748893995999
94.23,2278,6.96,20.41,0.4422688125919072
94.97,2303,3.8,18.51,0.4419196241349384
93.76,2356,9.5,16.61,0.46802656256078395
93.07,2450,3.11,16.04,0.45705832736069996
94.99,2541,13.25,17.8,0.4389800808325559
95.49,2400,7.38,14.16,0.46392674588085886
94.82,2538,15.16,9.42,0.5006139759065887
92.41,2288,12.82,16.42,0.49167261361795905
93.34,2113,11.46,15.13,0.508581405126791
95.29,1836,3.34,14.34,0.5132001345678366
95.29,2582,10.51,20.09,0.4130371443125481
87.81,2174,13.33,13.61,0.5570524191833764
90.93,2437,1.64,25.53,0.4080549908796063
93.83,2067,6.62,17.77,0.48333841491258533
91.66,2232,1.41,20,0.4592843191349675
95.73,2462,14.35,14.66,0.4643109467782849
89.94,2310,18.41,16.98,0.5134996965959143
93.03,2480,8.87,17.02,0.4573904525721555
92.38,2132,14.34,9.21,0.5588139590091086
93.92,2294,9.1,19.55,0.45234968874732817
96.14,2134,12.14,14.99,0.4877184712232833
97.3,2393,10.53,16.83,0.4384589531291482
90.91,2069,16.27,9.02,0.580140097312756
95.09,2434,10.88,18.71,0.43864410856976516
94.16,2199,20.66,10.69,0.5396298323435839
91.91,2135,15.66,8.5,0.568918694620191
95.56,1989,18.83,9.04,0.5579877252746696
92.17,2224,8.2,16.33,0.49264223598650975
91.16,2146,14.98,17.96,0.5081927182590891
93.28,2074,13.23,9.68,0.5528483957356204
97.7,2477,6.23,16.61,0.42175311403446675
92.17,2266,3.19,19.88,0.45595000057570323
93.79,2544,4.16,16.86,0.4387523575750518
95.96,2534,14.36,10.7,0.482437115685303
92.69,2189,8.4,9.55,0.5387357493646318
93.49,2398,3.45,10.97,0.49412602914348897
89.41,2183,14.83,12.44,0.5547602887071912
93.79,2261,5.62,19.85,0.44872203540041106
91.82,2016,14.92,8.29,0.5812800823781129
93.18,2226,14.53,8.82,0.5466518855281918
94.14,2474,12.61,16.47,0.4597343703117607
95.61,2225,12.88,15.95,0.4773667171597538
95.78,2204,15.94,10.09,0.5232673535106005
93.44,2077,1.27,16.75,0.4832114448820066
92.47,2091,5.59,16.63,0.49714156153349187
94.8,2339,15.02,17.12,0.46776470247206525
91.77,2472,-0.63,14.15,0.4710998416410887
94.5,2033,15.58,13.09,0.5286716791440398
96.88,2340,8.34,15.18,0.45422655946867835
92.56,1904,13.44,9.82,0.5741068668593469
99.9,2137,12.49,5.47,0.5248777390672216
89.57,2278,5.12,16.08,0.5032076293168952
91.78,2191,9.25,16.09,0.5022238573416958
93.32,2054,5.39,15.93,0.4989050544112807
96.84,2246,11,14.09,0.4756391059859591
92.33,2259,14.71,11.06,0.5348261939321229
93.68,2507,0.35,14.83,0.4505268810036553
96.56,2398,9.14,18.59,0.42930242142142205
95.67,2268,7.44,16.18,0.46199410501371063
94.14,2040,17.91,8.71,0.5641366373751958
94.68,1860,14.45,9.77,0.564875597089224
92.61,1876,17.58,-6.33,0.6849762676123058
94.81,2121,12.85,11.06,0.526899708136232
91.74,2491,-0.55,10.24,0.4962140146059533
96.06,2113,10.62,10.88,0.5158643962124045
91.79,2073,12.12,15.01,0.5260119593410255
93.64,2066,5.87,16.29,0.4936818858742426
95.2,2045,15.77,9.69,0.545676623100613
95.82,2388,4.86,19.2,0.4245532666547203
92.78,1935,19.37,4.62,0.6133870249176325
92.52,2329,6.2,13.44,0.49597635292612413
94.79,2187,8.15,16.87,0.47302343402122365
94.37,2246,4.62,18.51,0.45329487764832005
90.34,1917,5.51,12.14,0.5604612303043881
92.12,2498,3.91,20.77,0.42885196231645817
94.12,1996,6.45,10.33,0.5385883898594426
89.38,2162,8.89,12.15,0.5491085334037392
95.16,2247,9.64,17.1,0.4652878291377367
92.73,2112,12.97,4.68,0.586182998950567
90.19,2124,12.23,6.36,0.5910765642759646
94.3,2470,8.19,17.72,0.44313275531597973
94.53,2054,17.8,9.3,0.5557536602699594
94.26,2145,6.28,13.85,0.4985639763204127
96.19,2278,5.91,14.3,0.46734674663740516
96.26,2152,13.38,11.82,0.5087461464461841
97.11,2167,8.85,14.13,0.4775564289201344
96.5,2546,3.06,18.3,0.4074376700222346
